Date,Cluster,Healthy,Incubating,Infected,M_Suscept,M_Latent,M_Infected,Risk,lat,lon
8,3,200,0,2,344.4838018595757,0.23465806180991552,0.0,0.0,17.22720545,98.22567455
8,4,231,0,43,339.1369517988878,5.581508122497844,0.0,0.0,17.2121,97.7684
8,5,135,0,1,344.619426874617,0.09903304676858074,0.0,0.0,16.71198301,98.56604615
8,6,165,0,1,344.519427797363,0.1990321240225661,0.0,0.0,17.3383,97.667
8,7,585,0,21,343.8281235852328,0.8903363361528484,0.0,0.0,17.56081089,97.92060989
9,0,433,0,23,3923.357897685271,15.523538708195748,0.002907841330622458,0.0,17.33876038,98.1068906
9,1,192,0,5,1976.4239221535988,1.1386910770977592,0.0,0.0,17.11371281,98.40051491
9,2,471,0,8,396.33009956713994,0.4901477753143643,0.0,0.0,17.47290157,98.02630126
9,3,190,0,3,396.4692981869,0.3509491555543373,0.0,0.0,17.22720545,98.22567455
9,4,231,0,39,390.5183437239245,6.293087285249071,0.008816333280795645,0.0,17.2121,97.7684
9,5,113,0,1,396.65221788947275,0.16802945298143762,0.0,0.0,16.71198301,98.56604615
9,6,161,0,2,396.5307876692939,0.2894596731603239,0.0,0.0,17.3383,97.667
9,7,609,0,19,395.74744087162713,1.0724185363377956,0.00038793448944466285,0.0,17.56081089,97.92060989
10,0,442,0,24,4493.947280100551,19.23614612515973,0.011747813439882633,2.427111510641441e-07,17.33876038,98.1068906
10,1,194,0,4,2265.756870275763,2.0669364010689715,0.0,0.0,17.11371281,98.40051491
10,2,475,0,9,454.74176769485257,0.6334841142877237,0.0,0.0,17.47290157,98.02630126
10,3,178,0,3,454.88788626500866,0.48736554413168953,0.0,0.0,17.22720545,98.22567455
10,4,228,0,36,448.31364826548236,7.043625132784306,0.018860044201711612,5.025309970053516e-07,17.2121,97.7684
10,5,101,0,1,455.12252899864393,0.2527228104961884,0.0,0.0,16.71198301,98.56604615
10,6,157,0,2,454.9845562975327,0.3905196745463424,0.00017583706107576728,0.0,17.3383,97.667
10,7,625,0,21,454.07395327279255,1.300267907660332,0.0010694221364393915,3.302847820349297e-08,17.56081089,97.92060989
11,0,446,0,23,5131.007259382957,23.047500653992728,0.028839551076757567,9.831091298262547e-07,17.33876038,98.1068906
11,1,192,0,3,2589.57861696051,2.770031288872804,0.0,0.0,17.11371281,98.40051491
11,2,498,0,13,520.0703302202553,0.8720806769858858,0.0,0.0,17.47290157,98.02630126
11,3,179,0,3,520.3080801410691,0.634330756172093,0.0,0.0,17.22720545,98.22567455
11,4,239,0,35,513.0925310926624,7.823012282028582,0.029761906096953374,1.085760354882478e-06,17.2121,97.7684
11,5,95,0,1,520.5912239302229,0.3511869670180759,0.0,0.0,16.71198301,98.56604615
11,6,158,0,1,520.5160987926473,0.425929214994739,0.00040047330499839995,1.5376342749669608e-08,17.3383,97.667
11,7,593,0,21,519.3659130165366,1.574513256161699,0.002135937248220771,9.089043121816481e-08,17.56081089,97.92060989
12,0,456,0,23,5839.111471384721,27.149239417649486,0.052713264416527475,2.416019844693377e-06,17.33876038,98.1068906
12,1,192,0,5,2949.565371069373,4.208459680357841,0.0,0.0,17.11371281,98.40051491
12,2,485,0,12,592.9789786173164,1.1126110950518524,0.0,0.0,17.47290157,98.02630126
12,3,184,0,5,593.1614316907637,0.9299110979353663,0.00024692366930307013,0.0,17.22720545,98.22567455
12,4,235,0,30,585.511349807026,8.544835429905397,0.04168074452880725,1.7419138247688558e-06,17.2121,97.7684
12,5,100,0,1,593.6409924227985,0.45059728956952394,0.0,0.0,16.71198301,98.56604615
12,6,145,0,3,593.4325318889803,0.6584475732872291,0.0006703457796849372,3.4527293052564747e-08,17.3383,97.667
12,7,603,0,21,592.2165849199989,1.8718419927638743,0.003548914972766093,1.8163681753138935e-07,17.56081089,97.92060989
13,0,447,0,21,6623.175014198221,31.2428111649902,0.08271543314412177,4.43061745531736e-06,17.33876038,98.1068906
13,1,202,0,5,3349.0679058165215,5.647122315822314,0.0,0.0,17.11371281,98.40051491
13,2,520,0,13,674.0188096665831,1.378676226045611,0.00015549954768957183,0.0,17.47290157,98.02630126
13,3,178,0,5,674.1375070042316,1.259608522831131,0.0005505574807922868,2.1135586644608142e-08,17.22720545,98.22567455
13,4,229,0,27,666.0651530724662,9.289958637910942,0.05383121309917266,2.460792081282784e-06,17.2121,97.7684
13,5,92,0,1,674.8255013594963,0.572140032679615,0.0,0.0,16.71198301,98.56604615
13,6,137,0,3,674.4726052308449,0.9238639180404222,0.0013075811756771696,5.772634799915429e-08,17.3383,97.667
13,7,595,0,25,673.0869682284496,2.3059397406964273,0.005527163990114217,2.997115935065042e-07,17.56081089,97.92060989
14,0,456,0,20,7487.552143398842,35.34767916005526,0.11679606404112247,6.97311954035151e-06,17.33876038,98.1068906
14,1,206,0,6,3790.169532008654,7.55629703731021,0.0,0.0,17.11371281,98.40051491
14,2,509,0,14,763.7217369694794,1.7108631502411267,0.0010119910882807933,1.331765915891262e-08,17.47290157,98.02630126
14,3,175,0,6,763.7162220631996,1.7158037517114588,0.0016537779574763148,4.684301217790727e-08,17.22720545,98.22567455
14,4,222,0,26,755.214442612424,10.170356709806292,0.06698490997311278,3.180382799714023e-06,17.2121,97.7684
14,5,88,0,1,764.7207722664364,0.7128242944170788,0.0,0.0,16.71198301,98.56604615
14,6,145,0,3,764.2442630822206,1.1875035230092905,0.002114050548545017,1.1273470136243703e-07,17.3383,97.667
14,7,599,0,24,762.6774153331343,2.7498179652925026,0.007815281373033334,4.676530790479945e-07,17.56081089,97.92060989
15,0,462,0,21,8435.457291443361,40.27121814533739,0.15523311678431795,9.831181738417961e-06,17.33876038,98.1068906
15,1,216,0,6,4275.777879359518,9.47427340886097,0.0,0.0,17.11371281,98.40051491
15,2,513,0,12,862.7667241355215,1.993858985803969,0.0025444081562607432,8.701966797971071e-08,17.47290157,98.02630126
15,3,179,0,8,862.3646423884535,2.396121600221376,0.002503934847515127,1.3930647265329897e-07,17.22720545,98.22567455
15,4,211,0,22,853.7088091489411,10.999535312110702,0.0819042544908811,4.0035701986505075e-06,17.2121,97.7684
15,5,84,0,1,863.8866526423602,0.8757548688921789,0.0006012567438272022,0.0,16.71198301,98.56604615
15,6,145,0,3,863.2883472876279,1.4725789307487085,0.002614816179399983,1.8226543918536766e-07,17.3383,97.667
15,7,590,0,27,861.4116948667709,3.3429777750327623,0.010757588531821289,6.576489609204061e-07,17.56081089,97.92060989
16,0,463,0,16,9472.908713883837,43.55530875985195,0.19818971676890307,1.320421317382098e-05,17.33876038,98.1068906
